Date,obsQin,obsP,obsE
1981-01-01,925.831,0,0
1981-01-02,925.831,0,0
1981-01-03,999.391,0,0
1981-01-04,984.237,0.001028,0
1981-01-05,952.212,0.002668,0
1981-01-06,910.244,0,0
1981-01-07,882.458,0.001482,0
1981-01-08,888.459,0.00025,0
1981-01-09,916.589,0,0
1981-01-10,1027.819,0,0
1981-01-11,1101.956,0,0
1981-01-12,1010.341,0,0
1981-01-13,867.394,0.000821,0
1981-01-14,804.145,0.001194,0
1981-01-15,778.131,0,0
1981-01-16,822.442,0,0
1981-01-17,942.903,0,0
1981-01-18,948.491,0,0
1981-01-19,879.837,0,0
1981-01-20,847.034,0,0
1981-01-21,946.495,0,0
1981-01-22,1022.504,0,0
1981-01-23,1073.791,0,0
1981-01-24,1120.483,0,0
1981-01-25,1107.032,0.001944,0
1981-01-26,1000.143,0,0
1981-01-27,901.396,0.000101,0
1981-01-28,855.134,0,0
1981-01-29,858.472,0,0
1981-01-30,971.025,0.000918,0
1981-01-31,929.898,0.000056,0
1981-02-01,866.084,0,0
1981-02-02,908.437,0,0
1981-02-03,1023.856,0,0
1981-02-04,1122.004,0,0
1981-02-05,1064.555,0.000692,0
1981-02-06,869.206,0.000756,0
1981-02-07,792.437,0.000871,0
1981-02-08,886.804,0.000403,0
1981-02-09,985.706,0,0
1981-02-10,954.836,0,0
1981-02-11,891.958,0,0
1981-02-12,923.206,0,0
1981-02-13,1060.029,0,0
1981-02-14,1152.073,0.002666,0
1981-02-15,1018.526,0,0
1981-02-16,924.442,0.00111,0
1981-02-17,889.948,0,0
1981-02-18,852.042,0.000044,0
1981-02-19,895.927,0.001712,0
1981-02-20,990.225,0.001955,0
1981-02-21,1070.417,0.004269,0
1981-02-22,1033.641,0.000538,0
1981-02-23,958.856,0.000075,0
1981-02-24,920.489,0.000029,0
1981-02-25,861.844,0,0
1981-02-26,1064.832,0.000409,0
1981-02-27,1057.186,0.000154,0
1981-02-28,863.907,0.001264,0
1981-03-01,848.537,0,0
1981-03-02,849.237,0,0
1981-03-03,896.465,0.000583,0
1981-03-04,920.957,0,0
1981-03-05,935.051,0,0
1981-03-06,968.3,0,0
1981-03-07,958.107,0.000069,0
1981-03-08,904.661,0.002731,0
1981-03-09,886.423,0,0
1981-03-10,861.54,0,0
1981-03-11,859.568,0.001431,0
1981-03-12,877.099,0,0
1981-03-13,923.549,0,0
1981-03-14,943.809,0,0
1981-03-15,865.157,0,0
1981-03-16,897.15,0.000454,0
1981-03-17,1006.637,0,0
1981-03-18,1010.639,0,0
1981-03-19,860.261,0.000599,0
1981-03-20,748.068,0,0
1981-03-21,777.581,0,0
1981-03-22,849.014,0.001426,0
1981-03-23,911.002,0,0
1981-03-24,914.056,0,0
1981-03-25,831.266,0,0
1981-03-26,900.949,0,0
1981-03-27,966.004,0,0.000005
1981-03-28,952.15,0.00301,0
1981-03-29,884.867,0,0
1981-03-30,827.56,0.002167,0
1981-03-31,906.073,0.003137,0
1981-04-01,862.269,0,0
1981-04-02,770.751,0,0
1981-04-03,755.324,0,0
1981-04-04,780.632,0.000154,0
1981-04-05,914.177,0,0
1981-04-06,1104.625,0.004602,0
1981-04-07,1072.286,0.008974,0
1981-04-08,905.428,0.002489,0
1981-04-09,837.536,0,0
1981-04-10,963.607,0,0
1981-04-11,1038.991,0,0
1981-04-12,937.321,0.002323,0
1981-04-13,841.549,0.001498,0
1981-04-14,856.425,0,0
1981-04-15,992.56,0,0
1981-04-16,1022.095,0.000874,0
1981-04-17,875.189,0,0
1981-04-18,801.039,0.00015,0
1981-04-19,809.047,0,0
1981-04-20,824.052,0,0
1981-04-21,845.941,0.000094,0
1981-04-22,907.448,0,0
1981-04-23,873.172,0,0
1981-04-24,802.99,0,0
1981-04-25,782.262,0.000217,0
1981-04-26,838.779,0.000019,0.000003
1981-04-27,878.897,0.000476,0.000005
1981-04-28,831.854,0,0.000005
1981-04-29,797.46,0,0
