i,Date,simWSL_Py,simQmn_Py,simQbr_Py
0,1981-01-01,556.706,278.977,0
1,1981-01-02,556.669,279.712,0
2,1981-01-03,556.638,280.423,0
3,1981-01-04,556.611,281.111,0
4,1981-01-05,556.59,281.775,0
5,1981-01-06,556.565,282.415,0
6,1981-01-07,556.535,283.03,0
7,1981-01-08,556.502,283.62,0
8,1981-01-09,556.47,284.186,0
9,1981-01-10,556.436,284.728,0
10,1981-01-11,556.404,285.244,0
11,1981-01-12,556.372,285.735,0
12,1981-01-13,556.342,286.2,0
13,1981-01-14,556.313,286.64,0
14,1981-01-15,556.286,287.055,0
15,1981-01-16,556.259,287.443,0
16,1981-01-17,556.232,287.806,0
17,1981-01-18,556.201,288.143,0
18,1981-01-19,556.168,288.454,0
19,1981-01-20,556.134,288.739,0
20,1981-01-21,556.099,288.997,0
21,1981-01-22,556.063,289.23,0
22,1981-01-23,556.028,289.435,0
23,1981-01-24,555.992,289.615,0
24,1981-01-25,555.957,289.768,0
25,1981-01-26,555.928,289.894,0
26,1981-01-27,555.897,289.994,0
27,1981-01-28,555.863,290.067,0
28,1981-01-29,555.829,290.114,0
29,1981-01-30,555.799,290.134,0
30,1981-01-31,555.765,290.127,0
31,1981-02-01,555.73,290.094,0
32,1981-02-02,555.694,290.034,0
33,1981-02-03,555.658,289.947,0
34,1981-02-04,555.622,289.834,0
35,1981-02-05,555.586,289.695,0
36,1981-02-06,555.547,289.528,0
37,1981-02-07,555.512,289.336,0
38,1981-02-08,555.478,289.117,0
39,1981-02-09,555.444,288.871,0
40,1981-02-10,555.409,288.6,0
41,1981-02-11,555.373,288.302,0
42,1981-02-12,555.338,287.978,0
43,1981-02-13,555.303,287.628,0
44,1981-02-14,555.268,287.252,0
45,1981-02-15,555.233,286.851,0
46,1981-02-16,555.196,286.423,0
47,1981-02-17,555.159,285.97,0
48,1981-02-18,555.122,285.492,0
49,1981-02-19,555.084,284.989,0
50,1981-02-20,555.048,284.46,0
51,1981-02-21,555.013,283.907,0
52,1981-02-22,554.98,283.328,0
53,1981-02-23,554.948,282.725,0
54,1981-02-24,554.917,282.098,0
55,1981-02-25,554.885,281.446,0
56,1981-02-26,554.853,280.77,0
57,1981-02-27,554.818,280.071,0
58,1981-02-28,554.783,279.347,0
59,1981-03-01,554.747,278.601,0
60,1981-03-02,554.71,277.831,0
61,1981-03-03,554.675,277.038,0
62,1981-03-04,554.643,276.222,0
63,1981-03-05,554.611,275.384,0
64,1981-03-06,554.58,274.523,0
65,1981-03-07,554.548,273.641,0
66,1981-03-08,554.517,272.737,0
67,1981-03-09,554.486,271.811,0
68,1981-03-10,554.452,270.864,0
69,1981-03-11,554.417,269.896,0
70,1981-03-12,554.379,268.907,0
71,1981-03-13,554.349,267.899,0
72,1981-03-14,554.318,266.87,0
73,1981-03-15,554.291,265.821,0
74,1981-03-16,554.263,264.753,0
75,1981-03-17,554.235,263.666,0
76,1981-03-18,554.208,262.56,0
77,1981-03-19,554.182,261.435,0
78,1981-03-20,554.153,260.292,0
79,1981-03-21,554.127,259.132,0
80,1981-03-22,554.099,257.954,0
81,1981-03-23,554.074,256.759,0
82,1981-03-24,554.052,255.547,0
83,1981-03-25,554.031,254.319,0
84,1981-03-26,554.013,253.075,0
85,1981-03-27,553.996,251.815,0
86,1981-03-28,553.981,250.54,0
87,1981-03-29,553.964,249.25,0
88,1981-03-30,553.946,247.946,0
89,1981-03-31,553.933,246.627,0
90,1981-04-01,553.917,245.295,0
91,1981-04-02,553.896,243.949,0
92,1981-04-03,553.875,242.59,0
93,1981-04-04,553.856,241.219,0
94,1981-04-05,553.842,239.835,0
95,1981-04-06,553.826,238.44,0
96,1981-04-07,553.812,237.034,0
97,1981-04-08,553.796,235.616,0
98,1981-04-09,553.781,234.188,0
99,1981-04-10,553.767,232.75,0
100,1981-04-11,553.751,231.303,0
101,1981-04-12,553.732,229.846,0
102,1981-04-13,553.718,228.38,0
